,title,director,actors,writer,rated,year,language,country,genre,awards,plot,poster
25,First Cow,Kelly Reichardt,"Alia Shawkat, John Magaro, Dylan Smith, Ryan Findley","Jonathan Raymond (based upon the novel ""The Half-Life"" by), Jonathan Raymond (screenplay), Kelly Reichardt (screenplay)",PG-13,2019,English,USA,Drama,2 wins & 9 nominations.,"A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business.",https://m.media-amazon.com/images/M/MV5BMGUzMGEzM2UtMDg2Ny00Yjk1LTgxMTctMWI1ZGM0ZDBiYjgxXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg
26,Driveways,Andrew Ahn,"Lucas Jaye, Hong Chau, Brian Dennehy, Laurent Rejto","Hannah Bos, Paul Thureen",N/A,2019,English,USA,Drama,2 wins & 8 nominations.,"A lonesome boy accompanies his mother on a trip to clean out his late aunt's house, and ends up forming an unexpected friendship with the retiree who lives next door.",https://m.media-amazon.com/images/M/MV5BY2E4MGRmZDQtMTUxYy00OWE2LWE4ZGUtMGI0ZjI4MGUxMjM1XkEyXkFqcGdeQXVyMjA2OTE4OA@@._V1_SX300.jpg
27,76 Days,"Weixi Chen, Hao Wu, Anonymous(co-director)",N/A,Hao Wu,N/A,2020,Chinese,USA,"Documentary, Drama",1 win & 1 nomination.,"Raw and intimate, this documentary captures the struggles of patients and frontline medical professionals battling the COVID-19 pandemic in Wuhan.",https://m.media-amazon.com/images/M/MV5BZmM0MWJiNmEtOWE3Zi00YzczLTkzMzItOGM2MzE3Yzc0MjExXkEyXkFqcGdeQXVyMjAyODk4NzQ@._V1_SX300.jpg
28,Totally Under Control,"Alex Gibney, Ophelia Harutyunyan, Suzanne Hillinger","Burak Agan, Alex Azar, Charlie Baker, Scott Becker",Alex Gibney,TV-14,2020,English,USA,Documentary,1 win & 4 nominations.,An in-depth look at how the United States government handled the response to the COVID-19 outbreak during the early months of the pandemic.,https://m.media-amazon.com/images/M/MV5BZWFlYjYwNzgtYTVhNC00ZjhhLWJkNjMtNDgyM2Q0NDdmYjI5XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg
29,David Byrne's American Utopia,Spike Lee,"David Byrne, Jacqueline Acevedo, Gustavo Di Dalva, Daniel Freedman",David Byrne,TV-14,2020,English,USA,"Documentary, Music, Musical",N/A,"Spike Lee documents the former Talking Heads frontman's brilliant, timely 2019 Broadway show, based on his recent album and tour of the same name.",https://m.media-amazon.com/images/M/MV5BMGEzOWU5YmUtNjI0Mi00YzQ4LWIwODgtYWU0NDMyYTZkYjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
30,Minari,Lee Isaac Chung,"Steven Yeun, Yeri Han, Yuh-jung Youn, Alan S. Kim",Lee Isaac Chung,PG-13,2020,English,USA,Drama,9 wins & 10 nominations.,A Korean family moves to Arkansas to start a farm in the 1980s.,https://m.media-amazon.com/images/M/MV5BY2QzOTVkZTgtNjRjMi00OWZiLWJmNzMtNjIwOTdiMTZkNzViXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
31,Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch","Walter Mercado, Willy Acosta, Lin-Manuel Miranda, Raul de Molina",N/A,TV-14,2020,"English, Spanish",USA,Documentary,3 nominations.,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.",https://m.media-amazon.com/images/M/MV5BMDE1MjlkOGQtODYwMi00ZmQ0LWI1MTMtZGQyYzIyYzIwNjVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
32,The Assistant,Kitty Green,"Julia Garner, Owen Holland, Jon Orsini, Rory Kulz",Kitty Green,R,2019,English,USA,Drama,2 wins & 2 nominations.,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",https://m.media-amazon.com/images/M/MV5BMjBkMDZkNjctNmZhNi00Mzc5LTk0OTctNzFlMDExYzM3ZDNhXkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg
33,Welcome to Chechnya,David France,"Olga Baranova, David Isteev, Maxim Lapunov","David France, Tyler H. Walk",TV-MA,2020,"Russian, Chechen, English",USA,Documentary,12 wins & 5 nominations.,A group of activists risk their lives fighting for LGBTQ+ rights in Chechnya.,https://m.media-amazon.com/images/M/MV5BNTlkZTlkZDktMzBkNi00OTE1LTk1YjktZmM2NWU0MzkzZDAxXkEyXkFqcGdeQXVyMjYzNTk1NTE@._V1_SX300.jpg
34,All In: The Fight for Democracy,"Lisa Cortes, Liz Garbus","Stacey Abrams, Debo Adegbile, Jayla Allen, Carol Anderson",Jack Youngelson,PG-13,2020,English,USA,Documentary,1 nomination.,"The documentary takes a look at the history, and current activism against voter suppression; barriers to voting that most people don't even know is a threat to their basic rights as citizens of the United States.",https://m.media-amazon.com/images/M/MV5BNmQ0MWQ3NGEtZGU2Ni00ZGRlLWEzNjAtNDkxZGYzZDFiMWJkXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
35,Athlete A,"Bonni Cohen, Jon Shenk","Maggie Nichols, Gina Nichols, John Nichols, Steve Berta",N/A,PG-13,2020,English,USA,"Documentary, Crime, Sport",2 wins & 5 nominations.,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,https://m.media-amazon.com/images/M/MV5BYjlmNGYwMjctMjNiMS00NjA4LWJiMmEtN2Y5ZTgyNzE1YzIxXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg
36,Corpus Christi,Jan Komasa,"Bartosz Bielenia, Aleksandra Konieczna, Eliza Rycembel, Tomasz Zietek",Mateusz Pacewicz,N/A,2019,Polish,"Poland, France",Drama,Nominated for 1 Oscar. Another 50 wins & 26 nominations.,"Daniel experiences a spiritual transformation in a detention center. Although his criminal record prevents him from applying to the seminary, he has no intention of giving up his dream and decides to minister a small-town parish.",https://m.media-amazon.com/images/M/MV5BNTBlYzYwODQtNTE3My00ZDMwLWE1N2MtM2FjNWJiNDZkYTlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
37,One Night in Miami,Regina King,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr.",Kemp Powers (screenplay by),R,2020,English,USA,Drama,2 wins & 3 nominations.,"One Night in Miami is a fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the civil rights movement and cultural upheaval of the 60s.",https://m.media-amazon.com/images/M/MV5BYWMzZDBhNTAtMzk2Yy00NjFjLWFmNGYtMDkwMzIxYWUzNTljXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
38,On the Record,"Kirby Dick, Amy Ziering","Sil Lai Abrams, Tarana Burke, Kimberle Crenshaw, Drew Dixon","Kirby Dick, Sara Newens, Amy Ziering",N/A,2020,English,USA,Documentary,N/A,A former hip hop executive decides whether to make public her rape by one of the most powerful men in the music industry.,https://m.media-amazon.com/images/M/MV5BNDQzMDdlZjAtZGFjZS00YzMxLWI3YjEtYmNiYWIxY2QzNTI1XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg
39,Extra Ordinary,"Mike Ahern, Enda Loughman","Maeve Higgins, Barry Ward, Will Forte, Claudia O'Doherty","Demian Fox (additional writing by), Maeve Higgins (additional writing by), Mike Ahern, Enda Loughman",R,2019,English,"Ireland, Belgium, Finland, UK","Comedy, Fantasy, Horror",10 wins & 6 nominations.,"Rose, a mostly sweet and lonely Irish driving instructor, must use her supernatural talents to save the daughter of Martin (also mostly sweet and lonely) from a washed-up rock star who is using her in a Satanic pact to reignite his fame.",https://m.media-amazon.com/images/M/MV5BOTZiMzZiNTktZGRkNi00Yzc4LWEyZTYtMTEzOGZjOTFkNWZkXkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg
40,City Hall,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello","Ken Lipper, Paul Schrader, Nicholas Pileggi, Bo Goldman",R,1996,English,USA,"Drama, Thriller",1 nomination.,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",https://m.media-amazon.com/images/M/MV5BNDlhNDc3MmEtODJkMS00YmVlLWI4MTUtNDRkMTFhYjk1NDdlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
41,Slay the Dragon,"Chris Durrance, Barak Goodman","Ari Berman, David Daley, Margaret Dickson, Anita Earls",N/A,PG-13,2019,English,USA,Documentary,1 win & 2 nominations.,It influences elections and sways outcomes-gerrymandering has become a hot-button political topic and symbol for everything broken about the American electoral process. But there are those on the front lines fighting to change the system.,https://m.media-amazon.com/images/M/MV5BODZiN2Q0YmUtNzNiMS00Y2E0LTk2NmItZGYwZTlhMzljNzBlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
42,House of Hummingbird,Bora Kim,"Ji-hu Park, Sae-byeok Kim, Seung-Yun Lee, In-gi Jeong",Bora Kim,Not Rated,2018,Korean,South Korea,Drama,55 wins & 44 nominations.,"Seoul 1994, in the year the Seongsu Bridge collapsed, 14-year-old Eunhee wanders the city searching for love.",https://m.media-amazon.com/images/M/MV5BNmNkMzkwMGQtNGVhNy00N2EwLTgyYjktMzY4NDM5MDllMDllXkEyXkFqcGdeQXVyMjY3NDMzMzU@._V1_SX300.jpg
43,,,,,,,,,,,,
44,A Secret Love,Chris Bolan,"Terry Donahue, Pat Henschel, Diana Bolan, Kim Donahue","Chris Bolan, Alexa L. Fogel, Brendan Mason",TV-MA,2020,English,USA,"Documentary, Drama",2 nominations.,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.",https://m.media-amazon.com/images/M/MV5BNzRlMmUzNjUtMDczOC00YjQ5LWE0NDMtY2RkNzI5ODA4NmU3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
45,Rewind,Jack Bender,"Shane McRae, Jennifer Ferrin, Robbie Jones, Keon Alexander",Justin Marks,TV-14,2013,English,USA,"Action, Sci-Fi, Thriller",N/A,A team of military field operatives and civilian scientists must use untested technology to travel back in time to alter past events in order to change the future and avoid a devastating terrorist attack.,https://m.media-amazon.com/images/M/MV5BMjU3OTkwOTQ0MV5BMl5BanBnXkFtZTgwNjE2NjA2MDE@._V1_SX300.jpg
46,The Painter and the Thief,Benjamin Ree,"Karl Bertil-Nordland, Barbora Kysilkova, Øystein Stene",N/A,N/A,2020,"English, Norwegian",Norway,Documentary,7 wins & 10 nominations.,"An artist befriends the thief who stole her paintings. She becomes his closest ally when he is severely hurt in a car crash and needs full time care, even if her paintings are not found. But then the tables turn.",https://m.media-amazon.com/images/M/MV5BYmMzYTViMzgtNjEzMS00ZDkyLThkNjgtZGM2MTZmMjhmZWQ5XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_SX300.jpg
47,Coup 53,Taghi Amirani,"Ralph Fiennes, Walter Murch, Winston Churchill, Dwight D. Eisenhower","Taghi Amirani, Walter Murch",N/A,2019,"Italian, English, Persian","UK, Iran","Documentary, History",2 wins & 5 nominations.,"Theatrical feature documentary on the story of Operation Ajax, the CIA/MI6 staged coup in 1953 in Iran that overthrew Prime Minister Mossadegh.",https://m.media-amazon.com/images/M/MV5BNDVjZmY1YWMtNTFiZC00YzVhLTk2YWEtYTc0ZWZmZTYwODkzXkEyXkFqcGdeQXVyMTkxMTcxOTg@._V1_SX300.jpg
48,Mystify: Michael Hutchence,Richard Lowenstein,"Kylie Minogue, Helena Christensen, Bob Geldof, Michael Hutchence",Richard Lowenstein,N/A,2019,"English, Italian, French","Australia, UK","Documentary, Biography, Music",1 win & 7 nominations.,"A documentary feature about the troubled heart and soul of Michael Hutchence, lead singer and songwriter of INXS.",https://m.media-amazon.com/images/M/MV5BYmU0MTdhNmItZjFjZC00NGVjLTgzMGYtMmJmNmQ5Y2U1ZDQwXkEyXkFqcGdeQXVyMTUzMzU4Nw@@._V1_SX300.jpg
49,The Half of It,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz",Alice Wu,PG-13,2020,"Spanish, English, Mandarin, French, Hindi",USA,"Comedy, Drama, Romance",1 win.,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",https://m.media-amazon.com/images/M/MV5BY2RlZmZkOTUtMDI5Ni00ZjZmLWI1OTItZmUwNWE4ZWVjNzFiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg
50,Relic,Natalie Erika James,"Emily Mortimer, Robyn Nevin, Bella Heathcote, Steve Rodgers","Natalie Erika James, Christian White",R,2020,English,"Australia, USA","Drama, Horror, Mystery, Thriller",2 wins & 7 nominations.,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",https://m.media-amazon.com/images/M/MV5BOGY1MGM2ZjItZDJjMC00ZGM0LTg2MDctNmExNzcyYTcwMjM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
