,title,writer,awards,year,plot,poster
10,His House,"Remi Weekes (screenplay), Felicity Evans (story), Toby Venables (story)",1 win & 1 nomination.,2020,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",https://m.media-amazon.com/images/M/MV5BODY2NjQzYzYtYTgyMy00M2MxLTgyMWQtZTU1NWZjZWU4ZDc3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg
11,Wolfwalkers,"Jericca Cleland (story and script consultant), Will Collins (screenplay), Tomm Moore (story), Ross Stewart (story)",1 win & 4 nominations.,2020,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,https://m.media-amazon.com/images/M/MV5BNTA4MWQ4NGUtOGQ0MS00M2QyLWE5MDItZWM2YzA0ZDgxZTA2XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
12,,,,,,
13,Ma Rainey's Black Bottom,"Ruben Santiago-Hudson (screenplay by), August Wilson (based on the play written by)",2 wins & 11 nominations.,2020,"Chicago, 1927. A recording session. Tensions rise between Ma Rainey, her ambitious horn player and the white management determined to control the uncontrollable ""Mother of the Blues"". Based on Pulitzer Prize winner August Wilson's play.",https://m.media-amazon.com/images/M/MV5BYWFmZmVjMjUtMzc1ZS00MjEyLThmNGUtOWIwZDkxMTU3OGE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
14,The Trial of the Chicago 7,Aaron Sorkin,3 wins & 1 nomination.,2020,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",https://m.media-amazon.com/images/M/MV5BYjYzOGE1MjUtODgyMy00ZDAxLTljYTgtNzk0Njg2YWQwMTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
15,Palm Springs,Andy Siara (screenplay),6 nominations.,2020,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other.",https://m.media-amazon.com/images/M/MV5BYjk0MTgzMmQtZmY2My00NmE5LWExNGUtYjZkNTA3ZDkyMTJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
16,Time,Ki-duk Kim,3 wins & 1 nomination.,2006,"To save her relationship, a woman puts herself through extensive plastic surgery.",https://m.media-amazon.com/images/M/MV5BMjA1NjU5OTcxNl5BMl5BanBnXkFtZTcwNTMyNjYzMQ@@._V1_SX300.jpg
17,The Personal History of David Copperfield,"Simon Blackwell (screenplay by), Charles Dickens (novel), Armando Iannucci (screenplay)",Nominated for 1 BAFTA Film Award. Another 7 wins & 7 nominations.,2019,A modern take on Charles Dickens's classic tale of a young orphan who is able to triumph over many obstacles.,https://m.media-amazon.com/images/M/MV5BMjdhZmUxZTMtOWRmZS00ZmY0LTgxMzMtZjRjZDg2MTExY2IyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
18,Host,"Gemma Hurley, Rob Savage, Jed Shepherd",1 win.,2020,"Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.",https://m.media-amazon.com/images/M/MV5BOTY1YTk5ZTQtZTUyZi00MTNjLWFiZmMtZTRkZGQwODFhZDYxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg
19,Blow the Man Down,"Bridget Savage Cole, Danielle Krudy",1 win & 7 nominations.,2019,"Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",https://m.media-amazon.com/images/M/MV5BYmM3MDlkNDItN2RhNy00Mjc2LWJmNjktODk4NGE0NmRmMTFkXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
20,Dick Johnson Is Dead,"Nels Bangerter, Kirsten Johnson",2 wins & 6 nominations.,2020,A daughter helps her father prepare for the end of his life.,https://m.media-amazon.com/images/M/MV5BYzY5YjcxMzYtZDgxMS00ZjUyLWFmYjItYTNmZTU3ODAwMzBkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
21,Collective,"Alexander Nanau, Antoaneta Opris",8 wins & 8 nominations.,2019,Director Alexander Nanau follows a crack team of investigators at the Romanian newspaper Gazeta Sporturilor as they try to uncover a vast health-care fraud that enriched moguls and politicians and led to the deaths of innocent citizens.,https://m.media-amazon.com/images/M/MV5BOTQ1ZmU0ZmMtNTZlOC00MmI5LTg5MmQtZDJjYmZlOWI1YjhkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
22,The Vast of Night,"Andrew Patterson (teleplay by), Craig W. Sanger (teleplay by)",4 wins & 15 nominations.,2019,"One night in New Mexico, in the late 1950s, a switchboard operator and radio DJ discover a strange audio frequency which could change the future forever.",https://m.media-amazon.com/images/M/MV5BY2YxNDczNGYtNmViNi00MDZiLWJiM2ItNGFlN2Q1NGExNGZhXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
23,Saint Frances,Kelly O'Sullivan,10 wins & 14 nominations.,2019,"After an accidental pregnancy turned abortion, a deadbeat nanny finds an unlikely friendship with the six-year old she's charged with protecting.",https://m.media-amazon.com/images/M/MV5BMWFkODE5NjctZjc1Ni00OTIwLWFjYjAtZTU2MDFkZDI1NmMxXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg
24,The Forty-Year-Old Version,Radha Blank,2 wins & 4 nominations.,2020,"Radha is a down-on-her-luck NY playwright, who is desperate for a breakthrough before 40. Reinventing herself as rapper RadhaMUSPrime, she vacillates between the worlds of Hip Hop and theater in order to find her true voice.",https://m.media-amazon.com/images/M/MV5BMWQwNWFmYWEtZjU1NC00Mjk3LTgzZGQtNTJhODU5OTkxYzhhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg
25,First Cow,"Jonathan Raymond (based upon the novel ""The Half-Life"" by), Jonathan Raymond (screenplay), Kelly Reichardt (screenplay)",2 wins & 9 nominations.,2019,"A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business.",https://m.media-amazon.com/images/M/MV5BMGUzMGEzM2UtMDg2Ny00Yjk1LTgxMTctMWI1ZGM0ZDBiYjgxXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg
26,Driveways,"Hannah Bos, Paul Thureen",2 wins & 8 nominations.,2019,"A lonesome boy accompanies his mother on a trip to clean out his late aunt's house, and ends up forming an unexpected friendship with the retiree who lives next door.",https://m.media-amazon.com/images/M/MV5BY2E4MGRmZDQtMTUxYy00OWE2LWE4ZGUtMGI0ZjI4MGUxMjM1XkEyXkFqcGdeQXVyMjA2OTE4OA@@._V1_SX300.jpg
27,76 Days,Hao Wu,1 win & 1 nomination.,2020,"Raw and intimate, this documentary captures the struggles of patients and frontline medical professionals battling the COVID-19 pandemic in Wuhan.",https://m.media-amazon.com/images/M/MV5BZmM0MWJiNmEtOWE3Zi00YzczLTkzMzItOGM2MzE3Yzc0MjExXkEyXkFqcGdeQXVyMjAyODk4NzQ@._V1_SX300.jpg
28,Totally Under Control,Alex Gibney,1 win & 4 nominations.,2020,An in-depth look at how the United States government handled the response to the COVID-19 outbreak during the early months of the pandemic.,https://m.media-amazon.com/images/M/MV5BZWFlYjYwNzgtYTVhNC00ZjhhLWJkNjMtNDgyM2Q0NDdmYjI5XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg
29,David Byrne's American Utopia,David Byrne,N/A,2020,"Spike Lee documents the former Talking Heads frontman's brilliant, timely 2019 Broadway show, based on his recent album and tour of the same name.",https://m.media-amazon.com/images/M/MV5BMGEzOWU5YmUtNjI0Mi00YzQ4LWIwODgtYWU0NDMyYTZkYjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
30,Minari,Lee Isaac Chung,9 wins & 10 nominations.,2020,A Korean family moves to Arkansas to start a farm in the 1980s.,https://m.media-amazon.com/images/M/MV5BY2QzOTVkZTgtNjRjMi00OWZiLWJmNzMtNjIwOTdiMTZkNzViXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
31,Mucho Mucho Amor: The Legend of Walter Mercado,N/A,3 nominations.,2020,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.",https://m.media-amazon.com/images/M/MV5BMDE1MjlkOGQtODYwMi00ZmQ0LWI1MTMtZGQyYzIyYzIwNjVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
32,The Assistant,Kitty Green,2 wins & 2 nominations.,2019,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",https://m.media-amazon.com/images/M/MV5BMjBkMDZkNjctNmZhNi00Mzc5LTk0OTctNzFlMDExYzM3ZDNhXkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg
33,Welcome to Chechnya,"David France, Tyler H. Walk",12 wins & 5 nominations.,2020,A group of activists risk their lives fighting for LGBTQ+ rights in Chechnya.,https://m.media-amazon.com/images/M/MV5BNTlkZTlkZDktMzBkNi00OTE1LTk1YjktZmM2NWU0MzkzZDAxXkEyXkFqcGdeQXVyMjYzNTk1NTE@._V1_SX300.jpg
34,All In: The Fight for Democracy,Jack Youngelson,1 nomination.,2020,"The documentary takes a look at the history, and current activism against voter suppression; barriers to voting that most people don't even know is a threat to their basic rights as citizens of the United States.",https://m.media-amazon.com/images/M/MV5BNmQ0MWQ3NGEtZGU2Ni00ZGRlLWEzNjAtNDkxZGYzZDFiMWJkXkEyXkFqcGdeQXVyODE0OTU5Nzg@._V1_SX300.jpg
35,Athlete A,N/A,2 wins & 5 nominations.,2020,Follow the Indianapolis Star reporters that broke the story about USA Gymnastics doctor Larry Nassar's abuse and hear from gymnasts like Maggie Nichols.,https://m.media-amazon.com/images/M/MV5BYjlmNGYwMjctMjNiMS00NjA4LWJiMmEtN2Y5ZTgyNzE1YzIxXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg
36,Corpus Christi,Mateusz Pacewicz,Nominated for 1 Oscar. Another 50 wins & 26 nominations.,2019,"Daniel experiences a spiritual transformation in a detention center. Although his criminal record prevents him from applying to the seminary, he has no intention of giving up his dream and decides to minister a small-town parish.",https://m.media-amazon.com/images/M/MV5BNTBlYzYwODQtNTE3My00ZDMwLWE1N2MtM2FjNWJiNDZkYTlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
37,One Night in Miami,Kemp Powers (screenplay by),2 wins & 3 nominations.,2020,"One Night in Miami is a fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the civil rights movement and cultural upheaval of the 60s.",https://m.media-amazon.com/images/M/MV5BYWMzZDBhNTAtMzk2Yy00NjFjLWFmNGYtMDkwMzIxYWUzNTljXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
38,On the Record,"Kirby Dick, Sara Newens, Amy Ziering",N/A,2020,A former hip hop executive decides whether to make public her rape by one of the most powerful men in the music industry.,https://m.media-amazon.com/images/M/MV5BNDQzMDdlZjAtZGFjZS00YzMxLWI3YjEtYmNiYWIxY2QzNTI1XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg
39,Extra Ordinary,"Demian Fox (additional writing by), Maeve Higgins (additional writing by), Mike Ahern, Enda Loughman",10 wins & 6 nominations.,2019,"Rose, a mostly sweet and lonely Irish driving instructor, must use her supernatural talents to save the daughter of Martin (also mostly sweet and lonely) from a washed-up rock star who is using her in a Satanic pact to reignite his fame.",https://m.media-amazon.com/images/M/MV5BOTZiMzZiNTktZGRkNi00Yzc4LWEyZTYtMTEzOGZjOTFkNWZkXkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg
40,City Hall,"Ken Lipper, Paul Schrader, Nicholas Pileggi, Bo Goldman",1 nomination.,1996,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",https://m.media-amazon.com/images/M/MV5BNDlhNDc3MmEtODJkMS00YmVlLWI4MTUtNDRkMTFhYjk1NDdlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
41,Slay the Dragon,N/A,1 win & 2 nominations.,2019,It influences elections and sways outcomes-gerrymandering has become a hot-button political topic and symbol for everything broken about the American electoral process. But there are those on the front lines fighting to change the system.,https://m.media-amazon.com/images/M/MV5BODZiN2Q0YmUtNzNiMS00Y2E0LTk2NmItZGYwZTlhMzljNzBlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
42,House of Hummingbird,Bora Kim,55 wins & 44 nominations.,2018,"Seoul 1994, in the year the Seongsu Bridge collapsed, 14-year-old Eunhee wanders the city searching for love.",https://m.media-amazon.com/images/M/MV5BNmNkMzkwMGQtNGVhNy00N2EwLTgyYjktMzY4NDM5MDllMDllXkEyXkFqcGdeQXVyMjY3NDMzMzU@._V1_SX300.jpg
43,,,,,,
44,A Secret Love,"Chris Bolan, Alexa L. Fogel, Brendan Mason",2 nominations.,2020,"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.",https://m.media-amazon.com/images/M/MV5BNzRlMmUzNjUtMDczOC00YjQ5LWE0NDMtY2RkNzI5ODA4NmU3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
45,Rewind,Justin Marks,N/A,2013,A team of military field operatives and civilian scientists must use untested technology to travel back in time to alter past events in order to change the future and avoid a devastating terrorist attack.,https://m.media-amazon.com/images/M/MV5BMjU3OTkwOTQ0MV5BMl5BanBnXkFtZTgwNjE2NjA2MDE@._V1_SX300.jpg
46,The Painter and the Thief,N/A,7 wins & 10 nominations.,2020,"An artist befriends the thief who stole her paintings. She becomes his closest ally when he is severely hurt in a car crash and needs full time care, even if her paintings are not found. But then the tables turn.",https://m.media-amazon.com/images/M/MV5BYmMzYTViMzgtNjEzMS00ZDkyLThkNjgtZGM2MTZmMjhmZWQ5XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_SX300.jpg
47,Coup 53,"Taghi Amirani, Walter Murch",2 wins & 5 nominations.,2019,"Theatrical feature documentary on the story of Operation Ajax, the CIA/MI6 staged coup in 1953 in Iran that overthrew Prime Minister Mossadegh.",https://m.media-amazon.com/images/M/MV5BNDVjZmY1YWMtNTFiZC00YzVhLTk2YWEtYTc0ZWZmZTYwODkzXkEyXkFqcGdeQXVyMTkxMTcxOTg@._V1_SX300.jpg
48,Mystify: Michael Hutchence,Richard Lowenstein,1 win & 7 nominations.,2019,"A documentary feature about the troubled heart and soul of Michael Hutchence, lead singer and songwriter of INXS.",https://m.media-amazon.com/images/M/MV5BYmU0MTdhNmItZjFjZC00NGVjLTgzMGYtMmJmNmQ5Y2U1ZDQwXkEyXkFqcGdeQXVyMTUzMzU4Nw@@._V1_SX300.jpg
49,The Half of It,Alice Wu,1 win.,2020,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",https://m.media-amazon.com/images/M/MV5BY2RlZmZkOTUtMDI5Ni00ZjZmLWI1OTItZmUwNWE4ZWVjNzFiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg
50,Relic,"Natalie Erika James, Christian White",2 wins & 7 nominations.,2020,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",https://m.media-amazon.com/images/M/MV5BOGY1MGM2ZjItZDJjMC00ZGM0LTg2MDctNmExNzcyYTcwMjM3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
51,The Fight,N/A,2 wins & 4 nominations.,2020,An inside look at the legal battles that lawyers for the American Civil Liberties Union are facing during the Trump administration.,https://m.media-amazon.com/images/M/MV5BNjQ1YThmZDgtZDczMy00NTA1LWFjZmUtZTUwNDE1YzBkOWUxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
52,Soul Surfer,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)",2 wins & 12 nominations.,2011,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,https://m.media-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_SX300.jpg
53,Babyteeth,Rita Kalnejais,27 wins & 16 nominations.,2019,"Milla, a seriously ill teenager, falls in love with a drug dealer, Moses, her parents worst nightmare.",https://m.media-amazon.com/images/M/MV5BMGRhMzRkYzEtMDBjNy00YjkxLWJjNzctNzEwNGNhZDUyZWI0XkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg
54,Beats,Miles Orion Feldsott,1 nomination.,2019,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's music scene.",https://m.media-amazon.com/images/M/MV5BZTM5ZDQ3MTctYTlmNC00OWU4LTg4MDAtM2I5NzNhM2JkOTkzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg
55,Boys State,N/A,4 wins & 3 nominations.,2020,A thousand 17-year-old boys from Texas join together to build a representative government from the ground up.,https://m.media-amazon.com/images/M/MV5BN2JmMzA1OTgtYTJmMC00Y2Q2LTg2ZWQtMzg2MWQ4MjFmODZkXkEyXkFqcGdeQXVyMjAwNTYzNDg@._V1_SX300.jpg
56,Vitalina Varela,"Pedro Costa, Vitalina Varela",21 wins & 21 nominations.,2019,"A Cape Verdean woman navigates her way through Lisbon, following the scanty physical traces her deceased husband left behind and discovering his secret, illicit life.",https://m.media-amazon.com/images/M/MV5BZTBjNTE1NjgtODQ4ZC00MGU4LTkyOTctNTY4MzcyODM4NDhhXkEyXkFqcGdeQXVyMTIxNzk1NjM@._V1_SX300.jpg
57,Circus of Books,"Rachel Mason (screenplay by), Kathryn Robson (screenplay by)",2 wins & 1 nomination.,2019,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking ...",https://m.media-amazon.com/images/M/MV5BYzAxYjU5NWItZTJjMC00ZTMzLWFjMTgtYmIzOWE1ZDYzYjExXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg
58,La llorona,"Jayro Bustamante, Lisandro Sanchez (co writer)",6 wins & 9 nominations.,2019,"An aging paranoid dictator, protected by a witchcrafting wife, faces death and the uprise of his people in Guatemala.",https://m.media-amazon.com/images/M/MV5BNjE5NDM4OWEtOTEyMy00MmM0LTkxYzEtMDFhYjk3M2FlMzQzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg
59,Rocks,"Chris Stenner, Arvid Uibel, Heidi Wittlinger",Nominated for 1 Oscar. Another 8 wins.,2001,"Apparently, rocks are having conversations all around us, but they talk very, very slowly...",https://m.media-amazon.com/images/M/MV5BZDFkMGViZjctZGU1ZS00NWQzLWFkNGYtYmRhMjBhNDA1ODU0XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
60,Why Don't You Just Die!,Kirill Sokolov,5 wins & 8 nominations.,2018,"Andrei, a detective and the world's most horrible father, brings together a terrible group of people in his apartment: his resentful actress daughter, an angry thug, and a cheated cop. Each one of them has a reason to want revenge..",https://m.media-amazon.com/images/M/MV5BZmQ3OGExMzktM2Q2MC00NmFlLWI3ZjItMjVlN2Q3YjE3NTM0XkEyXkFqcGdeQXVyMTg0MTI3Mg@@._V1_SX300.jpg
61,Anything for Jackson,Keith Cooper,1 win.,2020,A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for.,https://m.media-amazon.com/images/M/MV5BOGQ0NGM4NDgtYzdlOS00YmFiLTgxMzItYTlmZGE3NTlhYmZjXkEyXkFqcGdeQXVyNDk0MjA4MzI@._V1_SX300.jpg
62,Spontaneous,"Brian Duffield (adaptation), Aaron Starmer (novel)",1 nomination.,2020,"Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.",https://m.media-amazon.com/images/M/MV5BMWQ0YzI3NTktNjEyNC00MGVhLTlmZjEtN2NkZTcyNmQwYmQ1XkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_SX300.jpg
63,The Swerve,Dean Kapsalis,2 wins & 2 nominations.,2018,"Holly seems to have it all: two kids, a nice house, a good job as a teacher, and a husband with his career on the way up. But there are troubling signs that all is not right in her world. ...",https://m.media-amazon.com/images/M/MV5BY2VlYmQ5MjUtNWRjMC00MWExLWExMzYtY2FiYWUxYTlkY2JmXkEyXkFqcGdeQXVyNTE1MzEyMjY@._V1_SX300.jpg
64,Disclosure,"Michael Crichton (novel), Paul Attanasio (screenplay)",2 wins & 2 nominations.,1994,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",https://m.media-amazon.com/images/M/MV5BYzhkNjE2YTQtYWQzNS00ZTkwLTg4YzAtNjNlYTRlMGEzYjcxL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
65,Enola Holmes,"Jack Thorne (screenplay by), Nancy Springer (based upon the book ""The Case of the Missing Marquess: An Enola Holmes Mystery"" by)",N/A,2020,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",https://m.media-amazon.com/images/M/MV5BZjNkNzk0ZjEtM2M1ZC00MmMxLTlmOWEtNWRlZTc1ZTUyNzY4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg
66,Farewell Amor,Ekwa Msangi,6 wins & 3 nominations.,2020,"Reunited after 17 years, an Angolan immigrant is joined in the U.S. by his wife and daughter. Now strangers sharing a one-bedroom apartment, they discover a shared love of dance that may help them overcome the distance between them.",https://m.media-amazon.com/images/M/MV5BYzk0YzJhMDAtZGI4MS00ZmVlLWFkZTgtY2YzMDAyNDE0ZGEyXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg
